gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,64,6144,2048,torch.float8_e4m3fn,flydsl,2335,0,7.1257,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x1x4x2_default,226.03,1894.61,0.0
gfx950,256,64,6144,3072,torch.float8_e4m3fn,flydsl,444,0,7.9618,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x1x4x2_default,303.44,2494.09,0.0
gfx950,256,64,6144,6144,torch.float8_e4m3fn,flydsl,2319,0,14.28,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x0x4x2_default,338.36,2726.08,0.0
gfx950,256,128,6144,2048,torch.float8_e4m3fn,flydsl,926,0,7.8205,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x3x4x2_default,411.9,1843.61,0.0
gfx950,256,128,6144,3072,torch.float8_e4m3fn,flydsl,456,0,10.6442,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x1x4x2_default,453.94,1957.92,0.0
gfx950,256,128,6144,6144,torch.float8_e4m3fn,flydsl,1129,0,18.4213,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x4x4x2_default,524.59,2177.26,0.0
gfx950,256,256,6144,2048,torch.float8_e4m3fn,flydsl,210,0,9.3846,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,686.49,1731.87,0.0
gfx950,256,256,6144,3072,torch.float8_e4m3fn,flydsl,210,0,12.6243,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,765.48,1806.56,0.0
gfx950,256,256,6144,6144,torch.float8_e4m3fn,flydsl,210,0,22.4831,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,859.64,1888.86,0.0
gfx950,256,512,6144,2048,torch.float8_e4m3fn,flydsl,702,0,12.1796,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x2x4x2_default,1057.91,1635.76,0.0
gfx950,256,512,6144,3072,torch.float8_e4m3fn,flydsl,212,0,16.3565,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x0x4x2_default,1181.63,1634.74,0.0
gfx950,256,512,6144,6144,torch.float8_e4m3fn,flydsl,460,0,29.8384,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x1x4x2_default,1295.47,1581.38,0.0
gfx950,256,1024,6144,2048,torch.float8_e4m3fn,flydsl,954,0,19.3652,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x3x4x2_default,1330.73,1407.83,0.0
gfx950,256,1024,6144,3072,torch.float8_e4m3fn,flydsl,234,0,26.9088,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,1436.51,1285.94,0.0
gfx950,256,1024,6144,6144,torch.float8_e4m3fn,flydsl,954,0,46.4606,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x3x4x2_default,1663.98,1218.73,0.0
gfx950,256,2048,6144,2048,torch.float8_e4m3fn,flydsl,1640,0,30.5448,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x1x4x1_default,1687.34,1373.16,0.0
